experiment,senID,Group,item,type,condition,sentence,sentence2,world,W1,W2,W3,op1,op2,op3,op4
likelihood,1,A,LI-A-1,ziji,W1,李华说小明把  ,弄糊涂了。,lihua.png,lihua.png,xiaoming.png,other.png,自己,他自己,他,李华
likelihood,2,A,LI-A-2,ziji,W2,李华说王刚把  ,出卖了。,wanggang.png,lihua.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,3,A,LI-A-3,ziji,W1,李华说王刚把  ,照顾得很好。,lihua.png,lihua.png,wanggang.png,other.png,自己,他自己,他,李华
likelihood,4,A,LI-A-4,ziji,W2,李华说张伟把  ,当成小孩子了。,zhangwei.png,lihua.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,5,A,LI-A-5,ziji,W1,小明说李华把  ,弄伤了。,xiaoming.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,小明
likelihood,6,A,LI-A-6,ziji,W2,小明说张伟把  ,想像成侦探了。,zhangwei.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,7,A,LI-A-7,ziji,W1,小明说李华把  ,灌醉了。,xiaoming.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,小明
likelihood,8,A,LI-A-8,ziji,W2,小明说李华把  ,绊倒了。,lihua.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,9,A,LI-A-9,ziji,W1,王刚说小明把  ,锁在教室里了。,wanggang.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,王刚
likelihood,10,A,LI-A-10,ziji,W2,王刚说小明把  ,逼得太紧了。,xiaoming.png,wanggang.png,xiaoming.png,other.png,自己,他自己,他,小明
likelihood,11,A,LI-A-11,ziji,W1,王刚说张伟把  ,置于危险中了。,wanggang.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,王刚
likelihood,12,A,LI-A-12,ziji,W2,王刚说张伟把  ,气哭了。,zhangwei.png,wanggang.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,13,A,LI-A-13,ziji,W1,张伟说王刚把  ,吓坏了。,zhangwei.png,zhangwei.png,wanggang.png,other.png,自己,他自己,他,张伟
likelihood,14,A,LI-A-14,ziji,W2,张伟说李华把  ,弄骨折了。,lihua.png,zhangwei.png,lihua.png,other.png,自己,他自己,他,李华
likelihood,15,A,LI-A-15,ziji,W1,张伟说小明把  ,逗笑了。,zhangwei.png,zhangwei.png,xiaoming.png,other.png,自己,他自己,他,张伟
likelihood,16,A,LI-A-16,zijide,W2,小明说王刚把  ,的照片发到了朋友圈。,wanggang.png,xiaoming.png,wanggang.png,other.png,自己,他自己,他,王刚
likelihood,17,A,LI-A-17,zijide,W1,小明说李华把  ,的演讲稿修改好了。,xiaoming.png,xiaoming.png,lihua.png,other.png,自己,他自己,他,小明
likelihood,18,A,LI-A-18,zijide,W2,小明说张伟把  ,的想法忘记了。,zhangwei.png,xiaoming.png,zhangwei.png,other.png,自己,他自己,他,张伟
likelihood,19,A,LI-A-19,zijide,W1,小明说王刚把  ,的作业遗漏了。,xiaoming.png,xiaoming.png,wanggang.png,other.png,自己,他自己,他,小明
