experiment,senID,item,type,sentence,sentence2,W1,W2,W3
prior,1,PR-1,ziji,"李华：“小明把<font color=""red""> &nbsp?&nbsp</font>弄糊涂了。”","把<font color=""red""> &nbsp?&nbsp</font>弄糊涂了。",lihua.png,xiaoming.png,other.png
prior,2,PR-2,ziji,"李华：“王刚把<font color=""red""> &nbsp?&nbsp</font>出卖了。”","把<font color=""red""> &nbsp?&nbsp</font>出卖了。",lihua.png,wanggang.png,other.png
prior,3,PR-3,ziji,"李华：“王刚把<font color=""red""> &nbsp?&nbsp</font>照顾得很好。”","把<font color=""red""> &nbsp?&nbsp</font>照顾得很好。",lihua.png,wanggang.png,other.png
prior,4,PR-4,ziji,"李华：“张伟把<font color=""red""> &nbsp?&nbsp</font>当成小孩子了。”","把<font color=""red""> &nbsp?&nbsp</font>当成小孩子了。",lihua.png,zhangwei.png,other.png
prior,5,PR-5,ziji,"小明：“李华把<font color=""red""> &nbsp?&nbsp</font>弄伤了。”","把<font color=""red""> &nbsp?&nbsp</font>弄伤了。",xiaoming.png,lihua.png,other.png
prior,6,PR-6,ziji,"小明：“张伟把   <font color=""red""> &nbsp?&nbsp</font>   想象成侦探了。”","把   <font color=""red""> &nbsp?&nbsp</font>   想像成侦探了。",xiaoming.png,zhangwei.png,other.png
prior,7,PR-7,ziji,"小明：“李华把<font color=""red""> &nbsp?&nbsp</font>灌醉了。”","把<font color=""red""> &nbsp?&nbsp</font>灌醉了。",xiaoming.png,lihua.png,other.png
prior,8,PR-8,ziji,"小明：“李华把<font color=""red""> &nbsp?&nbsp</font>绊倒了。”","把<font color=""red""> &nbsp?&nbsp</font>绊倒了。",xiaoming.png,lihua.png,other.png
prior,9,PR-9,ziji,"王刚：“小明把<font color=""red""> &nbsp?&nbsp</font>锁在教室里了。”","把<font color=""red""> &nbsp?&nbsp</font>锁在教室里了。",wanggang.png,xiaoming.png,other.png
prior,10,PR-10,ziji,"王刚：“小明把<font color=""red""> &nbsp?&nbsp</font>逼得太紧了。”","把<font color=""red""> &nbsp?&nbsp</font>逼得太紧了。",wanggang.png,xiaoming.png,other.png
prior,11,PR-11,ziji,"王刚：“张伟把<font color=""red""> &nbsp?&nbsp</font>置于危险中了。”","把<font color=""red""> &nbsp?&nbsp</font>置于危险中了。",wanggang.png,zhangwei.png,other.png
prior,12,PR-12,ziji,"王刚：“张伟把<font color=""red""> &nbsp?&nbsp</font>气哭了。”","把<font color=""red""> &nbsp?&nbsp</font>气哭了。",wanggang.png,zhangwei.png,other.png
prior,13,PR-13,ziji,"张伟：“王刚把<font color=""red""> &nbsp?&nbsp</font>吓坏了。”","把<font color=""red""> &nbsp?&nbsp</font>吓坏了。",zhangwei.png,wanggang.png,other.png
prior,14,PR-14,ziji,"张伟：“李华把<font color=""red""> &nbsp?&nbsp</font>弄骨折了。”","把<font color=""red""> &nbsp?&nbsp</font>弄骨折了。",zhangwei.png,lihua.png,other.png
prior,15,PR-15,ziji,"张伟：“小明把<font color=""red""> &nbsp?&nbsp</font>逗笑了。”","把<font color=""red""> &nbsp?&nbsp</font>逗笑了。",zhangwei.png,xiaoming.png,other.png
prior,16,PR-16,zijide,"小明：“王刚把<font color=""red""> &nbsp?&nbsp</font>的照片发到了朋友圈。”","把<font color=""red""> &nbsp?&nbsp</font>的照片发到了朋友圈。",xiaoming.png,wanggang.png,other.png
prior,17,PR-17,zijide,"小明：“李华把<font color=""red""> &nbsp?&nbsp</font>的演讲稿修改好了。”","把<font color=""red""> &nbsp?&nbsp</font>的演讲稿修改好了。",xiaoming.png,lihua.png,other.png
prior,18,PR-18,zijide,"小明：“张伟把<font color=""red""> &nbsp?&nbsp</font>的想法忘记了。”","把<font color=""red""> &nbsp?&nbsp</font>的想法忘记了。",xiaoming.png,zhangwei.png,other.png
prior,19,PR-19,zijide,"小明：“王刚把<font color=""red""> &nbsp?&nbsp</font>的作业遗漏了。”","把<font color=""red""> &nbsp?&nbsp</font>的作业遗漏了。",xiaoming.png,wanggang.png,other.png
prior,20,PR-20,zijide,"王刚：“李华把<font color=""red""> &nbsp?&nbsp</font>的遭遇讲给了别人听。”","把<font color=""red""> &nbsp?&nbsp</font>的遭遇讲给了别人听。",wanggang.png,lihua.png,other.png
prior,21,PR-21,zijide,"王刚：“张伟把<font color=""red""> &nbsp?&nbsp</font>的工作做完了。”","把<font color=""red""> &nbsp?&nbsp</font>的工作做完了。",wanggang.png,zhangwei.png,other.png
prior,22,PR-22,zijide,"王刚：“小明把<font color=""red""> &nbsp?&nbsp</font>的想法表达出来了。”","把<font color=""red""> &nbsp?&nbsp</font>的想法表达出来了。",wanggang.png,xiaoming.png,other.png
prior,23,PR-23,zijide,"王刚：“张伟把<font color=""red""> &nbsp?&nbsp</font>的孩子搂在了怀里。”","把<font color=""red""> &nbsp?&nbsp</font>的孩子搂在了怀里。",wanggang.png,zhangwei.png,other.png
prior,24,PR-24,zijide,"李华：“王刚把<font color=""red""> &nbsp?&nbsp</font>的证件弄丢了。”","把<font color=""red""> &nbsp?&nbsp</font>的证件弄丢了。",lihua.png,wanggang.png,other.png
prior,25,PR-25,zijide,"李华：“张伟把<font color=""red""> &nbsp?&nbsp</font>的小狗找回来了。”","把<font color=""red""> &nbsp?&nbsp</font>的小狗找回来了。",lihua.png,zhangwei.png,other.png
prior,26,PR-26,zijide,"李华：“小明把<font color=""red""> &nbsp?&nbsp</font>的玩具模型弄坏了。”","把<font color=""red""> &nbsp?&nbsp</font>的玩具模型弄坏了。",lihua.png,xiaoming.png,other.png
prior,27,PR-27,zijide,"李华：“小明把<font color=""red""> &nbsp?&nbsp</font>的房间打扫干净了。”","把<font color=""red""> &nbsp?&nbsp</font>的房间打扫干净了。",lihua.png,xiaoming.png,other.png
prior,28,PR-28,zijide,"张伟：“小明把<font color=""red""> &nbsp?&nbsp</font>的秘密告诉了别人。”","把<font color=""red""> &nbsp?&nbsp</font>的秘密告诉了别人。",zhangwei.png,xiaoming.png,other.png
prior,29,PR-29,zijide,"张伟：“王刚把<font color=""red""> &nbsp?&nbsp</font>的衣服捐掉了。”","把<font color=""red""> &nbsp?&nbsp</font>的衣服捐掉了。",zhangwei.png,wanggang.png,other.png
prior,30,PR-30,zijide,"张伟：“李华把<font color=""red""> &nbsp?&nbsp</font>的文件删除了。”","把<font color=""red""> &nbsp?&nbsp</font>的文件删除了。",zhangwei.png,lihua.png,other.png
