type,item,type,condition,item,item2,W1,W2,W3,op1,op2,op3,op4
prior,1,ziji,NA,李华说：“小明总把 ______ 弄糊涂。“,NA,lihua.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,2,ziji,NA,李华说：“王刚把 ______ 出卖了。“,NA,lihua.png,wanggang.png,other.png,NA,NA,NA,NA
prior,3,ziji,NA,李华说：“王刚总把 ______ 照顾得很好。“,NA,lihua.png,wanggang.png,other.png,NA,NA,NA,NA
prior,4,ziji,NA,李华说：“张伟总把 ______ 当成小孩子。“,NA,lihua.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,5,ziji,NA,小明说：“李华总把 ______ 弄伤。“,NA,xiaoming.png,lihua.png,other.png,NA,NA,NA,NA
prior,6,ziji,NA,小明说：“张伟总把 ______ 想像成警察。“,NA,xiaoming.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,7,ziji,NA,小明说：“李华总把 ______ 灌醉。“,NA,xiaoming.png,lihua.png,other.png,NA,NA,NA,NA
prior,8,ziji,NA,小明说：“李华总把 ______ 绊倒。“,NA,xiaoming.png,lihua.png,other.png,NA,NA,NA,NA
prior,9,ziji,NA,王刚说：“小明总把 ______ 关在家里。“,NA,wanggang.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,10,ziji,NA,王刚说：“小明总把 ______ 逼得太紧。“,NA,wanggang.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,11,ziji,NA,王刚说：“张伟总把 ______ 置于危险中。“,NA,wanggang.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,12,ziji,NA,王刚说：“张伟总把 ______ 气哭。“,NA,wanggang.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,13,ziji,NA,张伟说：“王刚总把 ______ 打扮得整整齐齐。“,NA,zhangwei.png,wanggang.png,other.png,NA,NA,NA,NA
prior,14,ziji,NA,张伟说：“李华把 ______ 弄骨折了。“,NA,zhangwei.png,lihua.png,other.png,NA,NA,NA,NA
prior,15,ziji,NA,张伟说：“小明总把 ______ 逗笑。“,NA,zhangwei.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,16,zijide,NA,小明说：“王刚总把 ______ 的照片发到朋友圈。“,NA,xiaoming.png,wanggang.png,other.png,NA,NA,NA,NA
prior,17,zijide,NA,小明说：“李华把 ______ 的演讲稿修改了一下。“,NA,xiaoming.png,lihua.png,other.png,NA,NA,NA,NA
prior,18,zijide,NA,小明说：“张伟总把 ______ 的想法忘记。“,NA,xiaoming.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,19,zijide,NA,小明说：“王刚总把 ______ 的作业遗漏在桌子上。“,NA,xiaoming.png,wanggang.png,other.png,NA,NA,NA,NA
prior,20,zijide,NA,王刚说：“李华总把 ______ 的遭遇讲给别人听。“,NA,wanggang.png,lihua.png,other.png,NA,NA,NA,NA
prior,21,zijide,NA,王刚说：“张伟把 ______ 的工作做完了。“,NA,wanggang.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,22,zijide,NA,王刚说：“小明把 ______ 的想法表达出来了。“,NA,wanggang.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,23,zijide,NA,王刚说：“张伟把 ______ 的孩子搂在怀里。“,NA,wanggang.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,24,zijide,NA,李华说：“王刚把 ______ 的证件弄丢了。“,NA,lihua.png,wanggang.png,other.png,NA,NA,NA,NA
prior,25,zijide,NA,李华说：“张伟把 ______ 的小狗找回来了。“,NA,lihua.png,zhangwei.png,other.png,NA,NA,NA,NA
prior,26,zijide,NA,李华说：“小明把 ______ 的玩具模型弄坏了。“,NA,lihua.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,27,zijide,NA,李华说：“小明把 ______ 的房间打扫干净了。“,NA,lihua.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,28,zijide,NA,张伟说：“小明把 ______ 的秘密告诉了别人。“,NA,zhangwei.png,xiaoming.png,other.png,NA,NA,NA,NA
prior,29,zijide,NA,张伟说：“王刚把 ______ 的衣服都捐掉了。“,NA,zhangwei.png,wanggang.png,other.png,NA,NA,NA,NA
prior,30,zijide,NA,张伟说：“李华把 ______ 的文件给删除了。“,NA,zhangwei.png,lihua.png,other.png,NA,NA,NA,NA
likelihood,1,ziji,W1,李华说小明总把 ______ ,弄糊涂。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,2,ziji,W1,李华说王刚把 ______ ,出卖了。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,3,ziji,W1,李华说王刚总把 ______ ,照顾得很好。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,4,ziji,W1,李华说张伟总把 ______ ,当成小孩子。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,5,ziji,W1,小明说李华总把 ______ ,弄伤。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,6,ziji,W1,小明说张伟总把 ______ ,想像成警察。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,7,ziji,W1,小明说李华总把 ______ ,灌醉。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,8,ziji,W1,小明说李华总把 ______ ,绊倒。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,9,ziji,W1,王刚说小明总把 ______ ,关在家里。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,10,ziji,W1,王刚说小明总把 ______ ,逼得太紧。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,11,ziji,W1,王刚说张伟总把 ______ ,置于危险中。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,12,ziji,W1,王刚说张伟总把 ______ ,气哭。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,13,ziji,W1,张伟说王刚总把 ______ ,打扮得整整齐齐。,zhangwei.png,NA,NA,自己,他自己,他,张伟
likelihood,14,ziji,W1,张伟说李华把 ______ ,弄骨折了。,zhangwei.png,NA,NA,自己,他自己,他,张伟
likelihood,15,ziji,W1,张伟说小明总把 ______ ,逗笑。,zhangwei.png,NA,NA,自己,他自己,他,张伟
likelihood,16,zijide,W1,小明说王刚总把 ______ ,的照片发到朋友圈。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,17,zijide,W1,小明说李华把 ______ ,的演讲稿修改了一下。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,18,zijide,W1,小明说张伟总把 ______ ,的想法忘记。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,19,zijide,W1,小明说王刚总把 ______ ,的作业遗漏在桌子上。,xiaoming.png,NA,NA,自己,他自己,他,小明
likelihood,20,zijide,W1,王刚说李华总把 ______ ,的遭遇讲给别人听。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,21,zijide,W1,王刚说张伟把 ______ ,的工作做完了。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,22,zijide,W1,王刚说小明把 ______ ,的想法表达出来了。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,23,zijide,W1,王刚说张伟把 ______ ,的孩子搂在怀里。,wanggang.png,NA,NA,自己,他自己,他,王刚
likelihood,24,zijide,W1,李华说王刚把 ______ ,的证件弄丢了。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,25,zijide,W1,李华说张伟把 ______ ,的小狗找回来了。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,26,zijide,W1,李华说小明把 ______ ,的玩具模型弄坏了。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,27,zijide,W1,李华说小明把 ______ ,的房间打扫干净了。,lihua.png,NA,NA,自己,他自己,他,李华
likelihood,28,zijide,W1,张伟说小明把 ______ ,的秘密告诉了别人。,zhangwei.png,NA,NA,自己,他自己,他,张伟
likelihood,29,zijide,W1,张伟说王刚把 ______ ,的衣服都捐掉了。,zhangwei.png,NA,NA,自己,他自己,他,张伟
likelihood,30,zijide,W1,张伟说李华不小心把 ______ ,的文件给删除了。,zhangwei.png,NA,NA,自己,他自己,他,张伟
likelihood,31,ziji,W2,李华说小明总把 ______ ,弄糊涂。,NA,xiaoming.png,NA,自己,他自己,他,小明
likelihood,32,ziji,W2,李华说王刚把 ______ ,出卖了。,NA,wanggang.png,NA,自己,他自己,他,王刚
likelihood,33,ziji,W2,李华说王刚总把 ______ ,照顾得很好。,NA,wanggang.png,NA,自己,他自己,他,王刚
likelihood,34,ziji,W2,李华说张伟总把 ______ ,当成小孩子。,NA,zhangwei.png,NA,自己,他自己,他,张伟
likelihood,35,ziji,W2,小明说李华总把 ______ ,弄伤。,NA,lihua.png,NA,自己,他自己,他,李华
likelihood,36,ziji,W2,小明说张伟总把 ______ ,想像成警察。,NA,zhangwei.png,NA,自己,他自己,他,张伟
