"experiment","Group","senID","item","type","condition","sentence1","sentence2","Value","ID","world","selection"
"likelihood","B","11","LI-B-11","co-argument","Clause Subject","王刚说张伟把  ","置于危险中了。","他自己","2134-6ae3-64ab-5b07","zhangwei.png","taziji"
"likelihood","B","10","LI-B-10","co-argument","Speaker","王刚说小明把  ","逼得太紧了。","他","2134-6ae3-64ab-5b07","wanggang.png","ta"
"likelihood","B","24","LI-B-24","possessor","Speaker","李华说王刚把  ","的证件弄丢了。","自己","2134-6ae3-64ab-5b07","lihua.png","ziji"
"likelihood","B","6","LI-B-6","co-argument","Speaker","小明说张伟把  ","想像成侦探了。","他","2134-6ae3-64ab-5b07","xiaoming.png","ta"
"likelihood","B","17","LI-B-17","possessor","Clause Subject","小明说李华把  ","的演讲稿修改好了。","他自己","2134-6ae3-64ab-5b07","lihua.png","taziji"
"likelihood","B","2","LI-B-2","co-argument","Speaker","李华说王刚把  ","出卖了。","他","2134-6ae3-64ab-5b07","lihua.png","ta"
"likelihood","B","20","LI-B-20","possessor","Speaker","王刚说李华把  ","的遭遇讲给了别人听。","自己","2134-6ae3-64ab-5b07","wanggang.png","ziji"
"likelihood","B","18","LI-B-18","possessor","Speaker","小明说张伟把  ","的想法忘记了。","他","2134-6ae3-64ab-5b07","xiaoming.png","ta"
"likelihood","B","30","LI-B-30","possessor","Speaker","张伟说李华把  ","的文件删除了。","他","2134-6ae3-64ab-5b07","zhangwei.png","ta"
"likelihood","B","26","LI-B-26","possessor","Speaker","李华说小明把  ","的玩具模型弄坏了。","他","2134-6ae3-64ab-5b07","lihua.png","ta"
"likelihood","B","12","LI-B-12","co-argument","Speaker","王刚说张伟把  ","气哭了。","他","2134-6ae3-64ab-5b07","wanggang.png","ta"
"likelihood","B","21","LI-B-21","possessor","Clause Subject","王刚说张伟把  ","的工作做完了。","他自己","2134-6ae3-64ab-5b07","zhangwei.png","taziji"
"likelihood","B","7","LI-B-7","co-argument","Clause Subject","小明说李华把  ","灌醉了。","他自己","2134-6ae3-64ab-5b07","lihua.png","taziji"
"likelihood","B","28","LI-B-28","possessor","Speaker","张伟说小明把  ","的秘密告诉了别人。","他","2134-6ae3-64ab-5b07","zhangwei.png","ta"
"likelihood","B","29","LI-B-29","possessor","Clause Subject","张伟说王刚把  ","的衣服捐掉了。","他自己","2134-6ae3-64ab-5b07","wanggang.png","taziji"
"likelihood","B","4","LI-B-4","co-argument","Speaker","李华说张伟把  ","当成小孩子了。","他","2134-6ae3-64ab-5b07","lihua.png","ta"
"likelihood","B","27","LI-B-27","possessor","Clause Subject","李华说小明把  ","的房间打扫干净了。","他自己","2134-6ae3-64ab-5b07","xiaoming.png","taziji"
"likelihood","B","23","LI-B-23","possessor","Clause Subject","王刚说张伟把  ","的孩子搂在了怀里。","他自己","2134-6ae3-64ab-5b07","zhangwei.png","taziji"
"likelihood","B","19","LI-B-19","possessor","Clause Subject","小明说王刚把  ","的作业遗漏了。","他自己","2134-6ae3-64ab-5b07","wanggang.png","taziji"
"likelihood","B","9","LI-B-9","co-argument","Clause Subject","王刚说小明把  ","锁在教室里了。","自己","2134-6ae3-64ab-5b07","xiaoming.png","ziji"
"likelihood","B","15","LI-B-15","co-argument","Clause Subject","张伟说小明把  ","逗笑了。","他自己","2134-6ae3-64ab-5b07","xiaoming.png","taziji"
"likelihood","B","13","LI-B-13","co-argument","Clause Subject","张伟说王刚把  ","吓坏了。","自己","2134-6ae3-64ab-5b07","wanggang.png","ziji"
"likelihood","B","22","LI-B-22","possessor","Speaker","王刚说小明把  ","的想法表达出来了。","他自己","2134-6ae3-64ab-5b07","wanggang.png","taziji"
"likelihood","B","16","LI-B-16","possessor","Speaker","小明说王刚把  ","的照片发到了朋友圈。","他","2134-6ae3-64ab-5b07","xiaoming.png","ta"
"likelihood","B","1","LI-B-1","co-argument","Clause Subject","李华说小明把  ","弄糊涂了。","他自己","2134-6ae3-64ab-5b07","xiaoming.png","taziji"
"likelihood","B","3","LI-B-3","co-argument","Clause Subject","李华说王刚把  ","照顾得很好。","他自己","2134-6ae3-64ab-5b07","wanggang.png","taziji"
"likelihood","B","14","LI-B-14","co-argument","Speaker","张伟说李华把  ","弄骨折了。","他","2134-6ae3-64ab-5b07","zhangwei.png","ta"
"likelihood","B","5","LI-B-5","co-argument","Clause Subject","小明说李华把  ","弄伤了。","自己","2134-6ae3-64ab-5b07","lihua.png","ziji"
"likelihood","B","8","LI-B-8","co-argument","Speaker","小明说李华把  ","绊倒了。","他","2134-6ae3-64ab-5b07","xiaoming.png","ta"
"likelihood","B","25","LI-B-25","possessor","Clause Subject","李华说张伟把  ","的小狗找回来了。","他自己","2134-6ae3-64ab-5b07","zhangwei.png","taziji"
