"experiment","senID","item","type","sentence","selection","ID","w1","w2","w3"
"prior","9","PR-9","co-argument","王刚：“小明把<font color=red> &nbsp?&nbsp</font>锁在教室里了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","wanggang.png","xiaoming.png","other.png"
"prior","14","PR-14","co-argument","张伟：“李华把<font color=red> &nbsp?&nbsp</font>弄骨折了。”","Speaker","ee5d-f7f8-9b32-0d8b","zhangwei.png","lihua.png","other.png"
"prior","18","PR-18","possessor","小明：“张伟把<font color=red> &nbsp?&nbsp</font>的想法忘记了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","xiaoming.png","zhangwei.png","other.png"
"prior","6","PR-6","co-argument","小明：“张伟把   <font color=red> &nbsp?&nbsp</font>   想象成侦探了。”","Speaker","ee5d-f7f8-9b32-0d8b","xiaoming.png","zhangwei.png","other.png"
"prior","27","PR-27","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的房间打扫干净了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","lihua.png","xiaoming.png","other.png"
"prior","24","PR-24","possessor","李华：“王刚把<font color=red> &nbsp?&nbsp</font>的证件弄丢了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","lihua.png","wanggang.png","other.png"
"prior","19","PR-19","possessor","小明：“王刚把<font color=red> &nbsp?&nbsp</font>的作业遗漏了。”","Others","ee5d-f7f8-9b32-0d8b","xiaoming.png","wanggang.png","other.png"
"prior","1","PR-1","co-argument","李华：“小明把<font color=red> &nbsp?&nbsp</font>弄糊涂了。”","Speaker","ee5d-f7f8-9b32-0d8b","lihua.png","xiaoming.png","other.png"
"prior","26","PR-26","possessor","李华：“小明把<font color=red> &nbsp?&nbsp</font>的玩具模型弄坏了。”","Speaker","ee5d-f7f8-9b32-0d8b","lihua.png","xiaoming.png","other.png"
"prior","17","PR-17","possessor","小明：“李华把<font color=red> &nbsp?&nbsp</font>的演讲稿修改好了。”","Others","ee5d-f7f8-9b32-0d8b","xiaoming.png","lihua.png","other.png"
"prior","29","PR-29","possessor","张伟：“王刚把<font color=red> &nbsp?&nbsp</font>的衣服捐掉了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","zhangwei.png","wanggang.png","other.png"
"prior","30","PR-30","possessor","张伟：“李华把<font color=red> &nbsp?&nbsp</font>的文件删除了。”","Others","ee5d-f7f8-9b32-0d8b","zhangwei.png","lihua.png","other.png"
"prior","25","PR-25","possessor","李华：“张伟把<font color=red> &nbsp?&nbsp</font>的小狗找回来了。”","Speaker","ee5d-f7f8-9b32-0d8b","lihua.png","zhangwei.png","other.png"
"prior","11","PR-11","co-argument","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>置于危险中了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","wanggang.png","zhangwei.png","other.png"
"prior","15","PR-15","co-argument","张伟：“小明把<font color=red> &nbsp?&nbsp</font>逗笑了。”","Speaker","ee5d-f7f8-9b32-0d8b","zhangwei.png","xiaoming.png","other.png"
"prior","7","PR-7","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>灌醉了。”","Others","ee5d-f7f8-9b32-0d8b","xiaoming.png","lihua.png","other.png"
"prior","5","PR-5","co-argument","小明：“李华把<font color=red> &nbsp?&nbsp</font>弄伤了。”","Others","ee5d-f7f8-9b32-0d8b","xiaoming.png","lihua.png","other.png"
"prior","21","PR-21","possessor","王刚：“张伟把<font color=red> &nbsp?&nbsp</font>的工作做完了。”","Clause Subject","ee5d-f7f8-9b32-0d8b","wanggang.png","zhangwei.png","other.png"
