experiment,senID,Group,item,type,condition,sentence,question,W1,W2,W3
posterior,1,A,PO-A-1,ziji,ta,李华说小明把他弄糊涂了。,谁被弄糊涂了？,lihua.png,xiaoming.png,other.png
posterior,2,A,PO-A-2,ziji,taziji,李华说王刚把他自己出卖了。,谁被出卖了？,lihua.png,wanggang.png,other.png
posterior,3,A,PO-A-3,ziji,ziji,李华说王刚把自己照顾得很好。,谁被照顾得很好？,lihua.png,wanggang.png,other.png
posterior,4,A,PO-A-4,ziji,ta,李华说张伟把他当成小孩子了。,谁被当成了小孩子？,lihua.png,zhangwei.png,other.png
posterior,5,A,PO-A-5,ziji,taziji,小明说李华把他自己弄伤了。,谁被弄伤了？,xiaoming.png,lihua.png,other.png
posterior,6,A,PO-A-6,ziji,ziji,小明说张伟把自己想像成侦探了。,谁被想像成侦探了？,xiaoming.png,zhangwei.png,other.png
posterior,7,A,PO-A-7,ziji,ta,小明说李华把他灌醉了。,谁被灌醉了？,xiaoming.png,lihua.png,other.png
posterior,8,A,PO-A-8,ziji,taziji,小明说李华把他自己绊倒了。,谁被绊倒了？,xiaoming.png,lihua.png,other.png
posterior,9,A,PO-A-9,ziji,ziji,王刚说小明把自己锁在教室里了。,谁被锁在教室里了？,wanggang.png,xiaoming.png,other.png
posterior,10,A,PO-A-10,ziji,ta,王刚说小明把他逼得太紧了。,谁被逼得太紧了？,wanggang.png,xiaoming.png,other.png
posterior,11,A,PO-A-11,ziji,taziji,王刚说张伟把他自己置于危险中了。,谁被置于危险中？,wanggang.png,zhangwei.png,other.png
posterior,12,A,PO-A-12,ziji,ziji,王刚说张伟把自己气哭了。,谁被气哭了？,wanggang.png,zhangwei.png,other.png
posterior,13,A,PO-A-13,ziji,ta,张伟说王刚把他吓坏了。,谁被吓坏了？,zhangwei.png,wanggang.png,other.png
posterior,14,A,PO-A-14,ziji,taziji,张伟说李华把他自己弄骨折了。,谁被弄骨折了？,zhangwei.png,lihua.png,other.png
posterior,15,A,PO-A-15,ziji,ziji,张伟说小明把自己逗笑了。,谁被逗笑了？,zhangwei.png,xiaoming.png,other.png
posterior,16,A,PO-A-16,zijide,ta,小明说王刚把他的照片发到了朋友圈。,谁的照片被发到了朋友圈？,xiaoming.png,wanggang.png,other.png
posterior,17,A,PO-A-17,zijide,taziji,小明说李华把他自己的演讲稿修改好了。,谁的演讲稿被修改好了？,xiaoming.png,lihua.png,other.png
posterior,18,A,PO-A-18,zijide,ziji,小明说张伟把自己的想法忘记了。,谁的想法被忘记了？,xiaoming.png,zhangwei.png,other.png
posterior,19,A,PO-A-19,zijide,ta,小明说王刚把他的作业遗漏了。,谁的作业被遗漏了？,xiaoming.png,wanggang.png,other.png
posterior,20,A,PO-A-20,zijide,taziji,王刚说李华把他自己的遭遇讲给了别人听。,谁的遭遇被讲给了别人听？,wanggang.png,lihua.png,other.png
posterior,21,A,PO-A-21,zijide,ziji,王刚说张伟把自己的工作做完了。,谁的工作被做完了？,wanggang.png,zhangwei.png,other.png
posterior,22,A,PO-A-22,zijide,ta,王刚说小明把他的想法表达出来了。,谁的想法被表达出来了？,wanggang.png,xiaoming.png,other.png
posterior,23,A,PO-A-23,zijide,taziji,王刚说张伟把他自己的孩子搂在了怀里。,谁的孩子被搂在了怀里？,wanggang.png,zhangwei.png,other.png
posterior,24,A,PO-A-24,zijide,ziji,李华说王刚把自己的证件弄丢了。,谁的证件被弄丢了？,lihua.png,wanggang.png,other.png
posterior,25,A,PO-A-25,zijide,ta,李华说张伟把他的小狗找回来了。,谁的小狗被找回来了？,lihua.png,zhangwei.png,other.png
posterior,26,A,PO-A-26,zijide,taziji,李华说小明把他自己的玩具模型弄坏了。,谁的玩具模型被弄坏了？,lihua.png,xiaoming.png,other.png
posterior,27,A,PO-A-27,zijide,ziji,李华说小明把自己的房间打扫干净了。,谁的房间被打扫干净了？,lihua.png,xiaoming.png,other.png
posterior,28,A,PO-A-28,zijide,ta,张伟说小明把他的秘密告诉了别人。,谁的秘密被告诉了别人？,zhangwei.png,xiaoming.png,other.png
posterior,29,A,PO-A-29,zijide,taziji,张伟说王刚把他自己的衣服捐掉了。,谁的衣服被捐掉了？,zhangwei.png,wanggang.png,other.png
posterior,30,A,PO-A-30,zijide,ziji,张伟说李华把自己的文件删除了。,谁的文件被删除了？,zhangwei.png,lihua.png,other.png
posterior,1,B,PO-B-1,ziji,taziji,李华说小明把他自己弄糊涂了。,谁被弄糊涂了？,lihua.png,xiaoming.png,other.png
posterior,2,B,PO-B-2,ziji,ziji,李华说王刚把自己出卖了。,谁被出卖了？,lihua.png,wanggang.png,other.png
posterior,3,B,PO-B-3,ziji,ta,李华说王刚把他照顾得很好。,谁被照顾得很好？,lihua.png,wanggang.png,other.png
posterior,4,B,PO-B-4,ziji,taziji,李华说张伟把他自己当成小孩子了。,谁被当成了小孩子？,lihua.png,zhangwei.png,other.png
posterior,5,B,PO-B-5,ziji,ziji,小明说李华把自己弄伤了。,谁被弄伤了？,xiaoming.png,lihua.png,other.png
posterior,6,B,PO-B-6,ziji,ta,小明说张伟把他想像成侦探了。,谁被想像成侦探了？,xiaoming.png,zhangwei.png,other.png
posterior,7,B,PO-B-7,ziji,taziji,小明说李华把他自己灌醉了。,谁被灌醉了？,xiaoming.png,lihua.png,other.png
posterior,8,B,PO-B-8,ziji,ziji,小明说李华把自己绊倒了。,谁被绊倒了？,xiaoming.png,lihua.png,other.png
posterior,9,B,PO-B-9,ziji,ta,王刚说小明把他锁在教室里了。,谁被锁在教室里了？,wanggang.png,xiaoming.png,other.png
posterior,10,B,PO-B-10,ziji,taziji,王刚说小明把他自己逼得太紧了。,谁被逼得太紧了？,wanggang.png,xiaoming.png,other.png
posterior,11,B,PO-B-11,ziji,ziji,王刚说张伟把自己置于危险中了。,谁被置于危险中？,wanggang.png,zhangwei.png,other.png
posterior,12,B,PO-B-12,ziji,ta,王刚说张伟把他气哭了。,谁被气哭了？,wanggang.png,zhangwei.png,other.png
posterior,13,B,PO-B-13,ziji,taziji,张伟说王刚把他自己吓坏了。,谁被吓坏了？,zhangwei.png,wanggang.png,other.png
posterior,14,B,PO-B-14,ziji,ziji,张伟说李华把自己弄骨折了。,谁被弄骨折了？,zhangwei.png,lihua.png,other.png
posterior,15,B,PO-B-15,ziji,ta,张伟说小明把他逗笑了。,谁被逗笑了？,zhangwei.png,xiaoming.png,other.png
posterior,16,B,PO-B-16,zijide,taziji,小明说王刚把他自己的照片发到了朋友圈。,谁的照片被发到了朋友圈？,xiaoming.png,wanggang.png,other.png
posterior,17,B,PO-B-17,zijide,ziji,小明说李华把自己的演讲稿修改好了。,谁的演讲稿被修改好了？,xiaoming.png,lihua.png,other.png
posterior,18,B,PO-B-18,zijide,ta,小明说张伟把他的想法忘记了。,谁的想法被忘记了？,xiaoming.png,zhangwei.png,other.png
posterior,19,B,PO-B-19,zijide,taziji,小明说王刚把他自己的作业遗漏了。,谁的作业被遗漏了？,xiaoming.png,wanggang.png,other.png
posterior,20,B,PO-B-20,zijide,ziji,王刚说李华把自己的遭遇讲给了别人听。,谁的遭遇被讲给了别人听？,wanggang.png,lihua.png,other.png
posterior,21,B,PO-B-21,zijide,ta,王刚说张伟把他的工作做完了。,谁的工作被做完了？,wanggang.png,zhangwei.png,other.png
posterior,22,B,PO-B-22,zijide,taziji,王刚说小明把他自己的想法表达出来了。,谁的想法被表达出来了？,wanggang.png,xiaoming.png,other.png
posterior,23,B,PO-B-23,zijide,ziji,王刚说张伟把自己的孩子搂在了怀里。,谁的孩子被搂在了怀里？,wanggang.png,zhangwei.png,other.png
posterior,24,B,PO-B-24,zijide,ta,李华说王刚把他的证件弄丢了。,谁的证件被弄丢了？,lihua.png,wanggang.png,other.png
posterior,25,B,PO-B-25,zijide,taziji,李华说张伟把他自己的小狗找回来了。,谁的小狗被找回来了？,lihua.png,zhangwei.png,other.png
posterior,26,B,PO-B-26,zijide,ziji,李华说小明把自己的玩具模型弄坏了。,谁的玩具模型被弄坏了？,lihua.png,xiaoming.png,other.png
posterior,27,B,PO-B-27,zijide,ta,李华说小明把他的房间打扫干净了。,谁的房间被打扫干净了？,lihua.png,xiaoming.png,other.png
posterior,28,B,PO-B-28,zijide,taziji,张伟说小明把他自己的秘密告诉了别人。,谁的秘密被告诉了别人？,zhangwei.png,xiaoming.png,other.png
posterior,29,B,PO-B-29,zijide,ziji,张伟说王刚把自己的衣服捐掉了。,谁的衣服被捐掉了？,zhangwei.png,wanggang.png,other.png
posterior,30,B,PO-B-30,zijide,ta,张伟说李华把他的文件删除了。,谁的文件被删除了？,zhangwei.png,lihua.png,other.png
posterior,1,C,PO-C-1,ziji,ziji,李华说小明把自己弄糊涂了。,谁被弄糊涂了？,lihua.png,xiaoming.png,other.png
posterior,2,C,PO-C-2,ziji,ta,李华说王刚把他出卖了。,谁被出卖了？,lihua.png,wanggang.png,other.png
posterior,3,C,PO-C-3,ziji,taziji,李华说王刚把他自己照顾得很好。,谁被照顾得很好？,lihua.png,wanggang.png,other.png
posterior,4,C,PO-C-4,ziji,ziji,李华说张伟把自己当成小孩子了。,谁被当成了小孩子？,lihua.png,zhangwei.png,other.png
posterior,5,C,PO-C-5,ziji,ta,小明说李华把他弄伤了。,谁被弄伤了？,xiaoming.png,lihua.png,other.png
posterior,6,C,PO-C-6,ziji,taziji,小明说张伟把他自己想像成侦探了。,谁被想像成侦探了？,xiaoming.png,zhangwei.png,other.png
posterior,7,C,PO-C-7,ziji,ziji,小明说李华把自己灌醉了。,谁被灌醉了？,xiaoming.png,lihua.png,other.png
posterior,8,C,PO-C-8,ziji,ta,小明说李华把他绊倒了。,谁被绊倒了？,xiaoming.png,lihua.png,other.png
posterior,9,C,PO-C-9,ziji,taziji,王刚说小明把他自己锁在教室里了。,谁被锁在教室里了？,wanggang.png,xiaoming.png,other.png
posterior,10,C,PO-C-10,ziji,ziji,王刚说小明把自己逼得太紧了。,谁被逼得太紧了？,wanggang.png,xiaoming.png,other.png
posterior,11,C,PO-C-11,ziji,ta,王刚说张伟把他置于危险中了。,谁被置于危险中？,wanggang.png,zhangwei.png,other.png
posterior,12,C,PO-C-12,ziji,taziji,王刚说张伟把他自己气哭了。,谁被气哭了？,wanggang.png,zhangwei.png,other.png
posterior,13,C,PO-C-13,ziji,ziji,张伟说王刚把自己吓坏了。,谁被吓坏了？,zhangwei.png,wanggang.png,other.png
posterior,14,C,PO-C-14,ziji,ta,张伟说李华把他弄骨折了。,谁被弄骨折了？,zhangwei.png,lihua.png,other.png
posterior,15,C,PO-C-15,ziji,taziji,张伟说小明把他自己逗笑了。,谁被逗笑了？,zhangwei.png,xiaoming.png,other.png
posterior,16,C,PO-C-16,zijide,ziji,小明说王刚把自己的照片发到了朋友圈。,谁的照片被发到了朋友圈？,xiaoming.png,wanggang.png,other.png
